stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station, routes
1001,1001,"Abbottsfield Transit Centre",,  53.571965,-113.390362,,,0,8-269:142-269:318-269,
1002,1002,"Abbottsfield Transit Centre",,  53.572153,-113.389900,,,0,180-269:318-269:183-269:185-269,
1003,1003,"Abbottsfield Transit Centre",,  53.572042,-113.389775,,,0,141-269,
1010,1010,"50 Street & 122 Avenue",,  53.576936,-113.418303,,,0,141-269:318-269:2-269,
1011,1011,"73 Street & Borden Park Road",,  53.564294,-113.451705,,,0,91-269:577-269,
1014,1014,"89 Street & 118 Avenue",,  53.570532,-113.478260,,,0,8-269:5-269,
1015,1015,"Wayne Gretzky Dr S & 118 Avenue",,  53.570569,-113.453962,,,0,8-269:141-269:142-269:143-269:99-269,
1019,1019,"101 Street & 104 Avenue",,  53.546627,-113.493568,,,0,9-269:125-269:151-269:3-269:197-269:134-269:12-269,
1020,1020,"38 Street & 114 Avenue",,  53.566525,-113.400047,,,0,141-269,
1021,1021,"Rossdale Road & 96 Avenue",,  53.531905,-113.497659,,,0,9-269,
1022,1022,"97 Street & 109A Avenue",,  53.555995,-113.491239,,,0,3-269:140-269,
1023,1023,"96 Street & 111 Avenue",,  53.559217,-113.490462,,,0,127-269,
1024,1024,"102 Street & 111 Avenue",,  53.558796,-113.497233,,,0,9-269:127-269:125-269:197-269:12-269:309-269,
1025,1025,"84 Street & 118 Avenue",,  53.570329,-113.469870,,,0,8-269:5-269,
1026,1026,"Alex Taylor Road & Jasper Avenue",,  53.547392,-113.476334,,,0,120-269:2-269,
1027,1027,"90 Street & 118 Avenue",,  53.570355,-113.479050,,,0,8-269:5-269,
1028,1028,"48 Street & 114 Avenue",,  53.566833,-113.415664,,,0,142-269,
1029,1029,"32 Street & 111 Avenue",,  53.563609,-113.389519,,,0,142-269:318-269,
1030,1030,"40 Street & 114 Avenue",,  53.566754,-113.402674,,,0,141-269,
1031,1031,"54 Street & 118 Avenue",,  53.570622,-113.424664,,,0,141-269:318-269,
1032,1032,"102 Street & 111 Avenue",,  53.558981,-113.498348,,,0,9-269:127-269:125-269:12-269:197-269:309-269,
1033,1033,"68 Street & 118 Avenue",,  53.570325,-113.445938,,,0,8-269:141-269:142-269:99-269,
1034,1034,"Fort Road & Mount Lawn Road",,  53.575549,-113.459729,,,0,127-269:318-269,
1035,1035,"107 Street & Jasper Avenue",,  53.540830,-113.504007,,,0,1-269:120-269:100-269:2-269:5-269:16-269:161-269:160-269:162-269:109-269:14-269,
1036,1036,"54 Street & 121 Avenue",,  53.574811,-113.424663,,,0,141-269:318-269,
1037,1037,"48 Street & 121 Avenue",,  53.575118,-113.415628,,,0,141-269:318-269,
1038,1038,"46 Street & 114 Avenue",,  53.566744,-113.411925,,,0,141-269,
1039,1039,"95 Street & 108 Avenue",,  53.554390,-113.483995,,,0,5-269,
1040,1040,"97 Street & 118 Avenue",,  53.570860,-113.492010,,,0,9-269:15-269:151-269:140-269:134-269,
1041,1041,"Wayne Gretzky Drive S & 112 Avenue",,  53.562823,-113.447378,,,0,99-269,
1042,1042,"124 Street & 111 Avenue",,  53.558985,-113.536550,,,0,127-269:125-269,
1043,1043,"97 St & Yellowhead Tr Nearside",,  53.581122,-113.491955,,,0,9-269:151-269:140-269:134-269:130-269,
1044,1044,"80 Street & 118 Avenue",,  53.570330,-113.463370,,,0,8-269:127-269:10-269:143-269:5-269:91-269,
1045,1045,"Bellamy Hill & 98 Avenue",,  53.535533,-113.497088,,,0,9-269:151-269,
1046,1046,"34 Street & Abbottsfield Road",,  53.575044,-113.393020,,,0,142-269:318-269,
1047,1047,"124 Street & 103 Avenue",,  53.544284,-113.536005,,,0,1-269:120-269:5-269,
1048,1048,"97 Street & 120 Avenue",,  53.573112,-113.492394,,,0,9-269:151-269:140-269:134-269,
1050,1050,"101 Street & 105 Avenue",,  53.547396,-113.493829,,,0,9-269:125-269:151-269:3-269:197-269:134-269:12-269,
1051,1051,"95 Street & 102A Avenue",,  53.546534,-113.479409,,,0,1-269:5-269,
1052,1052,"66 Street & 122 Avenue",,  53.576996,-113.442827,,,0,318-269:99-269,
1053,1053,"Kingsway & 111 Avenue",,  53.559017,-113.504925,,,0,127-269:125-269,
1054,1054,"44 Street & 121 Avenue",,  53.575037,-113.408712,,,0,142-269:318-269,
